w_text,w_layout,w_pii,recall_at_1,mrr,detection_auc
0.0,0.0,1.0,0.1875,0.2277,0.1308
0.0,0.05,0.95,0.2125,0.2865,0.1244
0.0,0.1,0.9,0.2125,0.2865,0.1244
0.0,0.15,0.85,0.2125,0.2865,0.1244
0.0,0.2,0.8,0.2125,0.2865,0.1244
0.0,0.25,0.75,0.2125,0.2865,0.1244
0.0,0.3,0.7,0.2125,0.2865,0.1244
0.0,0.35,0.65,0.2125,0.2865,0.1244
0.0,0.4,0.6,0.2125,0.2865,0.1244
0.0,0.45,0.55,0.2125,0.2865,0.1244
0.0,0.5,0.5,0.2125,0.2865,0.1244
0.0,0.55,0.45,0.2125,0.2865,0.1244
0.0,0.6,0.4,0.2125,0.2865,0.1244
0.0,0.65,0.35,0.2125,0.2865,0.1244
0.0,0.7,0.3,0.2125,0.2865,0.1244
0.0,0.75,0.25,0.2125,0.2865,0.1244
0.0,0.8,0.2,0.2125,0.2865,0.1244
0.0,0.85,0.15,0.2125,0.2865,0.1244
0.0,0.9,0.1,0.2125,0.2865,0.125
0.0,0.95,0.05,0.2125,0.2865,0.1237
0.0,1.0,0.0,0.025,0.1256,0.4191
0.05,0.0,0.95,0.4875,0.5872,0.1372
0.05,0.05,0.9,0.5,0.5909,0.1375
0.05,0.1,0.85,0.5125,0.5941,0.1378
0.05,0.15,0.8,0.4875,0.5811,0.1378
0.05,0.2,0.75,0.4875,0.5776,0.1378
0.05,0.25,0.7,0.475,0.5736,0.1378
0.05,0.3,0.65,0.4625,0.5643,0.1381
0.05,0.35,0.6,0.45,0.557,0.1381
0.05,0.4,0.55,0.45,0.5556,0.1381
0.05,0.45,0.5,0.45,0.5556,0.1381
0.05,0.5,0.45,0.4375,0.5427,0.1378
0.05,0.55,0.4,0.4375,0.5395,0.1391
0.05,0.6,0.35,0.4375,0.5395,0.14
0.05,0.65,0.3,0.4125,0.5255,0.1419
0.05,0.7,0.25,0.4,0.5194,0.1419
0.05,0.75,0.2,0.3875,0.5143,0.1419
0.05,0.8,0.15,0.375,0.5069,0.1422
0.05,0.85,0.1,0.375,0.5047,0.1434
0.05,0.9,0.05,0.375,0.5024,0.1459
0.05,0.95,0.0,0.3375,0.4757,0.6178
0.1,0.0,0.9,0.4875,0.5872,0.1372
0.1,0.05,0.85,0.5,0.5929,0.1372
0.1,0.1,0.8,0.5,0.5909,0.1375
0.1,0.15,0.75,0.5125,0.5943,0.1394
0.1,0.2,0.7,0.5125,0.5941,0.1397
0.1,0.25,0.65,0.5125,0.5942,0.1403
0.1,0.3,0.6,0.4875,0.5811,0.1416
