w_text,w_layout,w_pii,recall_at_1,mrr,detection_auc
0.0,0.0,1.0,0.1875,0.2277,0.1308
0.0,0.05,0.95,0.2125,0.2865,0.1244
0.0,0.1,0.9,0.2125,0.2865,0.1244
0.0,0.15,0.85,0.2125,0.2865,0.1244
0.0,0.2,0.8,0.2125,0.2865,0.1244
0.0,0.25,0.75,0.2125,0.2865,0.1244
0.0,0.3,0.7,0.2125,0.2865,0.1244
0.0,0.35,0.65,0.2125,0.2865,0.1244
0.0,0.4,0.6,0.2125,0.2865,0.1244
0.0,0.45,0.55,0.2125,0.2865,0.1244
0.0,0.5,0.5,0.2125,0.2865,0.1244
0.0,0.55,0.45,0.2125,0.2865,0.1244
0.0,0.6,0.4,0.2125,0.2865,0.1244
0.0,0.65,0.35,0.2125,0.2865,0.1244
0.0,0.7,0.3,0.2125,0.2865,0.1244
0.0,0.75,0.25,0.2125,0.2865,0.1244
0.0,0.8,0.2,0.2125,0.2865,0.1244
0.0,0.85,0.15,0.2125,0.2865,0.1244
0.0,0.9,0.1,0.2125,0.2865,0.125
0.0,0.95,0.05,0.2125,0.2865,0.1237
0.0,1.0,0.0,0.025,0.1256,0.4191
0.05,0.0,0.95,0.525,0.6051,0.1397
0.05,0.05,0.9,0.5125,0.5988,0.1397
0.05,0.1,0.85,0.5125,0.602,0.1394
0.05,0.15,0.8,0.5125,0.6004,0.1394
0.05,0.2,0.75,0.5125,0.5974,0.1397
0.05,0.25,0.7,0.5,0.5907,0.1394
0.05,0.3,0.65,0.4875,0.5816,0.1394
0.05,0.35,0.6,0.4875,0.5758,0.1394
0.05,0.4,0.55,0.475,0.5676,0.1391
0.05,0.45,0.5,0.4625,0.5613,0.1391
0.05,0.5,0.45,0.45,0.5522,0.1409
0.05,0.55,0.4,0.45,0.5483,0.1428
0.05,0.6,0.35,0.425,0.5358,0.1431
0.05,0.65,0.3,0.425,0.5293,0.1428
0.05,0.7,0.25,0.425,0.5267,0.1428
0.05,0.75,0.2,0.4125,0.5181,0.1437
0.05,0.8,0.15,0.4125,0.5171,0.145
0.05,0.85,0.1,0.4,0.5115,0.1481
0.05,0.9,0.05,0.4,0.5101,0.15
0.05,0.95,0.0,0.35,0.4779,0.6798
0.1,0.0,0.9,0.525,0.6051,0.1409
0.1,0.05,0.85,0.5125,0.5985,0.1419
0.1,0.1,0.8,0.5125,0.5988,0.1434
0.1,0.15,0.75,0.5125,0.5983,0.1434
0.1,0.2,0.7,0.5125,0.602,0.1431
0.1,0.25,0.65,0.5125,0.6006,0.1431
0.1,0.3,0.6,0.5125,0.6004,0.1431
