w_text,w_layout,w_pii,recall_at_1,mrr,detection_auc
0.0,0.0,1.0,0.1875,0.2277,0.1308
0.0,0.05,0.95,0.2125,0.2865,0.1244
0.0,0.1,0.9,0.2125,0.2865,0.1244
0.0,0.15,0.85,0.2125,0.2865,0.1244
0.0,0.2,0.8,0.2125,0.2865,0.1244
0.0,0.25,0.75,0.2125,0.2865,0.1244
0.0,0.3,0.7,0.2125,0.2865,0.1244
0.0,0.35,0.65,0.2125,0.2865,0.1244
0.0,0.4,0.6,0.2125,0.2865,0.1244
0.0,0.45,0.55,0.2125,0.2865,0.1244
0.0,0.5,0.5,0.2125,0.2865,0.1244
0.0,0.55,0.45,0.2125,0.2865,0.1244
0.0,0.6,0.4,0.2125,0.2865,0.1244
0.0,0.65,0.35,0.2125,0.2865,0.1244
0.0,0.7,0.3,0.2125,0.2865,0.1244
0.0,0.75,0.25,0.2125,0.2865,0.1244
0.0,0.8,0.2,0.2125,0.2865,0.1244
0.0,0.85,0.15,0.2125,0.2865,0.1244
0.0,0.9,0.1,0.2125,0.2865,0.125
0.0,0.95,0.05,0.2125,0.2865,0.1237
0.0,1.0,0.0,0.025,0.1256,0.4191
0.05,0.0,0.95,0.25,0.3783,0.1294
0.05,0.05,0.9,0.25,0.3814,0.1298
0.05,0.1,0.85,0.25,0.3838,0.13
0.05,0.15,0.8,0.25,0.3826,0.13
0.05,0.2,0.75,0.25,0.385,0.13
0.05,0.25,0.7,0.2375,0.3781,0.1303
0.05,0.3,0.65,0.225,0.3701,0.1303
0.05,0.35,0.6,0.225,0.3683,0.1303
0.05,0.4,0.55,0.225,0.3749,0.1303
0.05,0.45,0.5,0.225,0.3726,0.1305
0.05,0.5,0.45,0.225,0.3754,0.1306
0.05,0.55,0.4,0.2125,0.3708,0.1306
0.05,0.6,0.35,0.2125,0.3714,0.1309
0.05,0.65,0.3,0.2125,0.3714,0.1309
0.05,0.7,0.25,0.2125,0.3708,0.1309
0.05,0.75,0.2,0.2125,0.3742,0.1322
0.05,0.8,0.15,0.2125,0.3722,0.1322
0.05,0.85,0.1,0.2125,0.3703,0.1316
0.05,0.9,0.05,0.2125,0.3699,0.1297
0.05,0.95,0.0,0.1,0.2843,0.2313
0.1,0.0,0.9,0.25,0.3783,0.1294
0.1,0.05,0.85,0.25,0.3817,0.1294
0.1,0.1,0.8,0.25,0.3814,0.1298
0.1,0.15,0.75,0.25,0.3819,0.13
0.1,0.2,0.7,0.25,0.3838,0.13
0.1,0.25,0.65,0.25,0.382,0.13
0.1,0.3,0.6,0.25,0.3826,0.13
0.1,0.35,0.55,0.25,0.3847,0.13
